"document","topic","gamma"
106,2,0.503998158166684
107,2,0.503118121427756
108,2,0.508355754071683
109,2,0.502156012754334
110,1,0.505621077665803
111,1,0.50050148046289
112,2,0.500578993161227
113,2,0.501965386682548
114,2,0.502739686775058
115,1,0.507074138125764
116,2,0.50333719524217
117,1,0.502590198797141
118,1,0.503271396846059
119,2,0.503550376685959
120,2,0.503173231987193
121,1,0.509286060377129
122,2,0.508760136146829
123,1,0.505076597563521
124,2,0.507036626744498
125,1,0.504307464930128
126,2,0.504578849768406
127,2,0.500128981656717
128,1,0.505009426068344
129,1,0.50390247254829
131,1,0.501936620890971
132,1,0.503799711754448
133,2,0.502640623897441
134,2,0.503789684429815
135,1,0.501939931324973
136,1,0.501430708075035
137,1,0.502045957845515
138,1,0.505621077665803
139,2,0.50069920201989
140,2,0.507036626744498
141,2,0.501807062792289
142,1,0.503184099833077
143,1,0.502691060817311
144,1,0.506395410075257
145,2,0.503260707549674
146,1,0.505281838925915
147,2,0.50294611236337
148,1,0.507074138125764
149,2,0.50333889005463
150,1,0.509183158186213
151,1,0.506025682638797
152,1,0.500596800230491
153,1,0.50714088623544
154,2,0.509089806619081
155,2,0.50354486796794
156,2,0.504578849768406
157,2,0.500128981656717
158,1,0.505009426068344
159,2,0.502739686775058
160,2,0.502507556425538
161,2,0.501180213405349
162,2,0.500293273979174
163,1,0.501278704726715
164,2,0.503088124388431
165,2,0.507036626744498
166,2,0.505764100145519
167,1,0.504670588257349
168,2,0.50043585364022
169,1,0.501561177422557
170,1,0.508522371203113
171,1,0.501823172311785
172,1,0.50050148046289
173,1,0.506395410075257
174,2,0.507076306884148
175,1,0.502769029526642
176,2,0.503588287142231
177,1,0.500686992992026
178,2,0.506888503854245
179,1,0.505466603984417
180,2,0.507036626744498
181,1,0.504307464930128
182,2,0.50354486796794
183,2,0.504578849768406
184,2,0.500528221153559
185,1,0.506438426994689
186,2,0.502739686775058
187,1,0.507074138125764
188,2,0.504345066425743
189,1,0.503883791401176
190,2,0.506720879850346
191,1,0.506685938783983
193,2,0.503926885205095
194,2,0.500033508473697
195,2,0.501143895899384
196,1,0.507470441671628
197,2,0.502322067581725
198,2,0.503524638631731
199,2,0.504830366055505
200,2,0.501965386682548
201,2,0.508476546481195
202,2,0.503255694358035
203,2,0.501673761043235
204,1,0.501936620890971
205,1,0.503799711754448
206,1,0.502176032599321
207,2,0.504491350478882
208,1,0.507636634179768
209,1,0.503078496074032
210,1,0.507102019528014
211,2,0.505740272059175
212,1,0.500293668628256
213,2,0.501065482183427
214,2,0.500908405168491
215,1,0.500744021135879
216,2,0.501989897918332
217,2,0.501772113649113
218,2,0.50514308595858
219,2,0.502762406749113
220,2,0.503129230246249
221,1,0.505883116697258
222,1,0.500744021135879
223,1,0.501724978900019
224,1,0.504245099470452
225,2,0.504832321608528
226,1,0.500585637941001
227,2,0.506818280158842
228,1,0.503074350338399
229,1,0.500515164258518
230,2,0.502209324920932
231,1,0.506145170280245
232,1,0.5032656876435
233,1,0.502176032599321
234,1,0.501561177422557
235,1,0.508522371203113
236,1,0.500361998200713
237,1,0.50050148046289
238,1,0.506395410075257
239,2,0.507076306884148
240,1,0.502769029526642
241,2,0.503588287142231
242,1,0.500686992992026
243,2,0.506888503854245
244,1,0.505466603984417
245,2,0.507036626744498
246,1,0.501561177422557
247,1,0.508522371203113
248,1,0.500361998200713
249,2,0.502477920927588
250,2,0.500070541505418
251,1,0.503883791401176
252,1,0.502769029526642
253,2,0.503588287142231
254,1,0.504224220250267
255,2,0.503085600620209
256,2,0.504845475579585
257,2,0.501499561283678
258,1,0.505104558413167
259,1,0.503271396846059
260,1,0.501532503934432
261,1,0.503552053196352
262,1,0.505163220862505
263,1,0.500909117012108
264,2,0.505741932929163
265,1,0.50050148046289
266,1,0.50460457014963
267,2,0.502156012754334
268,1,0.505076597563521
270,2,0.503926885205095
271,1,0.501272448944744
273,2,0.500752304424857
274,2,0.502636446967417
275,2,0.506356073789818
276,1,0.504040503499779
277,2,0.50874551131611
278,2,0.503764830960261
279,1,0.500417203701645
280,2,0.501090397276954
281,2,0.501428196690248
282,1,0.501722612125412
283,2,0.505625227536822
284,2,0.502466631718571
285,2,0.501180213405349
286,2,0.500822606493501
287,2,0.508347241916998
288,2,0.50027929999658
289,2,0.503173231987193
290,2,0.508979842054527
291,2,0.506701110382294
292,1,0.501938070164989
293,2,0.504512134621143
294,2,0.504392599185951
295,1,0.500686992992026
296,2,0.507036626744498
297,2,0.502466631718571
298,2,0.504578849768406
299,2,0.504845475579585
300,1,0.505104558413167
301,1,0.5023340368388
302,2,0.50075672673054
303,1,0.504019419080371
304,2,0.505411083809235
305,2,0.502511409324003
306,1,0.508522371203113
307,1,0.501910593098171
308,1,0.505076597563521
309,2,0.501807062792289
310,1,0.506688660759901
311,2,0.504578849768406
312,2,0.505160736694503
313,2,0.501363099794462
314,2,0.507892141731622
315,2,0.501698279826772
316,2,0.503550376685959
317,2,0.509178329160151
318,1,0.502022774705991
319,1,0.505076597563521
320,1,0.505076597563521
321,2,0.500321367964343
322,1,0.508197776027697
323,1,0.502876895942781
324,1,0.50050148046289
325,1,0.502503069819967
326,1,0.505643344179054
327,2,0.503250205858994
328,2,0.50075672673054
329,2,0.501180213405349
330,2,0.500293273979174
331,2,0.504578849768406
333,2,0.504031567759649
334,1,0.502503069819967
335,2,0.502019976004757
336,2,0.506720879850346
337,1,0.508465186140907
338,2,0.500013477859581
339,1,0.505424843450633
340,2,0.502466631718571
341,2,0.504578849768406
342,1,0.50050148046289
343,2,0.502616672971261
